,Lat,Lng,Price,Tempature (C),ZipCode
0,41.92,-87.65,628700.0,2.5,60614
1,37.79,-122.42,1928200.0,11.23,94109
2,28.93,-81.96,235100.0,13.77,32162
3,41.95,-87.7,455800.0,2.44,60618
4,41.95,-87.66,472700.0,2.5,60613
5,38.9,-76.99,665600.0,9.87,20002
6,41.75,-87.61,145700.0,2.11,60619
7,37.75,-122.42,1560300.0,11.25,94110
8,30.04,-95.53,177500.0,10.39,77379
9,26.66,-80.17,282200.0,20.17,33411
10,33.86,-118.18,448300.0,15.82,90805
11,42.23,-83.63,188500.0,0.82,48197
12,32.21,-110.82,167900.0,18.31,85710
13,34.04,-84.03,264700.0,9.1,30024
14,42.23,-83.27,94500.0,0.73,48180
15,33.65,-112.17,243900.0,17.22,85308
16,41.9,-87.62,1089100.0,2.5,60611
17,40.07,-82.4,118800.0,-0.23,43055
18,35.19,-106.67,191600.0,9.28,87114
19,39.66,-104.78,325600.0,14.57,80013
20,39.08,-77.06,329300.0,9.56,20906
21,40.11,-82.91,195200.0,-0.6,43081
22,33.98,-117.73,557800.0,15.67,91709
23,37.17,-93.31,115800.0,7.46,65807
24,36.1,-79.88,186000.0,9.72,27410
25,38.95,-77.02,538200.0,9.73,20011
26,34.05,-118.33,1141300.0,15.82,90019
27,36.12,-115.09,196300.0,16.79,89121
28,34.42,-117.3,233400.0,14.01,92345
29,40.64,-73.9,463000.0,2.0,11236
30,33.92,-117.46,345000.0,15.34,92503
31,32.92,-117.14,554900.0,16.0,92126
32,38.64,-77.27,285500.0,10.84,22191
33,41.42,-87.36,202900.0,1.63,46307
34,33.89,-118.13,508900.0,15.82,90706
35,40.79,-74.01,434500.0,1.58,07093
36,32.82,-116.92,458400.0,16.0,92021
37,32.58,-97.14,222900.0,10.38,76063
38,32.72,-96.68,95700.0,9.58,75217
39,35.62,-77.4,101700.0,12.66,27834
40,33.65,-117.92,709000.0,15.57,92627
41,35.85,-86.39,177500.0,5.71,37130
42,34.01,-118.26,404900.0,15.93,90011
43,31.8,-105.97,122800.0,9.04,79938
44,26.27,-80.21,271400.0,20.13,33063
45,40.95,-73.87,449000.0,1.13,10701
46,33.73,-118.29,610100.0,16.06,90731
47,26.15,-80.21,220800.0,20.25,33313
48,28.55,-81.76,237100.0,15.22,34711
49,34.2,-84.1,256400.0,8.24,30041
50,34.41,-118.09,246800.0,14.88,93550
51,35.83,-90.7,130200.0,4.34,72401
52,39.04,-77.48,400600.0,9.99,20147
53,38.23,-84.87,125600.0,2.0,40601
54,40.57,-74.59,325000.0,2.38,08831
55,27.26,-80.38,201900.0,18.41,34953
56,33.38,-86.7,282200.0,6.97,35242
57,37.76,-122.48,1439200.0,11.25,94122
58,33.97,-81.24,169500.0,11.58,29072
59,41.95,-87.75,301200.0,2.44,60641
60,41.9,-87.68,529100.0,2.44,60622
61,32.72,-97.45,175200.0,10.87,76116
62,33.7,-84.75,136900.0,8.55,30135
63,36.91,-121.76,553300.0,11.29,95076
64,26.61,-80.17,301000.0,20.16,33467
65,37.02,-86.45,137200.0,3.36,42101
66,47.74,-122.34,568600.0,6.38,98133
67,36.12,-80.08,154900.0,9.88,27284
68,32.85,-79.82,406800.0,13.6,29464
69,33.93,-117.95,570800.0,15.77,90631
70,33.63,-112.05,255500.0,17.22,85022
71,36.2,-119.34,186400.0,9.75,93274
72,33.64,-117.69,668800.0,15.72,92630
73,47.68,-122.3,813900.0,6.56,98115
74,37.67,-120.95,291600.0,10.35,95355
75,46.15,-122.96,175400.0,7.0,98632
76,44.07,-123.08,307600.0,6.0,97401
77,30.29,-81.51,170500.0,12.83,32246
78,32.74,-117.09,426600.0,16.0,92105
79,45.66,-122.52,280500.0,7.0,98682
80,41.87,-88.02,258200.0,2.36,60148
81,34.04,-84.5,213400.0,8.79,30066
82,36.36,-94.22,161400.0,8.42,72712
83,29.77,-94.97,149800.0,10.13,77521
84,25.94,-80.32,296700.0,20.38,33015
85,33.68,-118.01,893500.0,15.88,92648
86,39.52,-84.4,121100.0,0.77,45044
87,36.64,-76.24,279700.0,9.3,23322
88,33.93,-84.47,195200.0,8.81,30067
89,39.95,-74.15,287300.0,4.99,08759
90,33.37,-84.82,151000.0,9.0,30263
91,29.46,-98.66,164100.0,7.37,78251
92,35.19,-80.68,158800.0,9.58,28227
93,32.86,-117.21,715400.0,16.0,92122
94,39.92,-75.16,194300.0,4.17,19148
95,35.93,-86.88,369600.0,6.0,37064
96,36.0,-80.0,142200.0,9.51,27265
97,30.0,-95.17,178900.0,10.1,77346
98,36.52,-87.35,158900.0,4.34,37040
99,40.59,-83.13,75900.0,-0.55,43302
100,32.82,-117.2,621200.0,15.99,92117
101,33.01,-117.07,662400.0,16.0,92128
102,40.81,-73.36,402600.0,1.73,11746
103,28.55,-81.26,207400.0,14.99,32825
104,28.3,-82.69,125900.0,15.11,34668
105,25.85,-80.14,868200.0,20.38,33141
106,40.25,-74.28,295200.0,3.28,07728
107,36.04,-115.09,260900.0,16.78,89074
108,40.5,-74.5,301400.0,2.89,08873
109,40.08,-76.31,208700.0,3.25,17601
110,32.79,-116.97,497000.0,16.0,92020
111,37.35,-121.89,831300.0,11.54,95112
112,39.7,-105.03,294400.0,14.55,80219
113,33.52,-82.09,139000.0,13.01,30907
114,39.7,-75.74,237000.0,5.12,19711
115,40.86,-74.13,284800.0,1.58,07055
116,40.73,-74.23,154400.0,1.58,07111
117,48.75,-122.49,391700.0,7.49,98225
118,26.1,-80.18,259900.0,20.25,33312
119,38.99,-92.31,134600.0,9.31,65202
120,39.98,-75.6,323300.0,3.19,19380
121,38.27,-77.55,229500.0,11.77,22407
122,42.62,-82.96,224000.0,0.6,48038
123,40.73,-73.86,828500.0,2.0,11374
124,26.53,-80.14,280100.0,20.51,33437
125,40.81,-81.5,126400.0,-0.39,44646
126,35.37,-80.53,169100.0,9.42,28025
127,39.94,-75.59,343500.0,3.4,19382
128,32.6,-96.87,174800.0,9.79,75115
129,41.92,-87.75,227800.0,2.44,60639
130,40.82,-73.86,410000.0,1.33,10473
131,44.82,-68.79,125400.0,-2.0,04401
132,40.73,-74.07,455300.0,1.83,07306
133,38.42,-121.36,357300.0,10.75,95624
134,35.16,-89.78,155900.0,5.33,38016
135,27.29,-80.3,198700.0,17.99,34952
136,26.2,-97.69,109300.0,9.0,78550
137,39.83,-84.89,83600.0,0.57,47374
138,42.33,-83.47,217800.0,0.73,48187
139,47.61,-122.31,827100.0,6.78,98122
140,33.52,-101.93,162900.0,12.0,79424
141,34.94,-89.85,149100.0,4.17,38654
142,39.94,-75.18,225200.0,4.17,19146
143,41.39,-73.45,267400.0,-0.57,06810
144,40.8,-74.19,318600.0,1.58,07003
145,39.28,-76.74,250700.0,8.85,21228
146,38.82,-90.74,195900.0,9.16,63366
147,34.0,-117.44,354100.0,14.78,92509
148,33.67,-116.31,373400.0,17.24,92253
149,41.54,-74.05,179000.0,-1.17,12550
150,44.76,-93.28,244900.0,3.0,55337
151,40.04,-75.07,129000.0,4.01,19149
152,40.43,-105.09,314300.0,13.04,80538
153,29.99,-90.17,235700.0,11.84,70001
154,28.01,-82.5,190600.0,15.4,33614
155,38.16,-85.78,156400.0,1.74,40214
156,32.55,-85.47,221000.0,9.22,36830
157,40.26,-75.62,149500.0,3.01,19464
158,32.65,-97.38,156500.0,10.62,76133
159,41.7,-87.66,153100.0,2.09,60643
160,26.82,-80.14,379500.0,20.01,33418
161,35.15,-106.57,218800.0,8.78,87109
162,43.05,-78.85,138900.0,-0.33,14120
163,45.44,-122.78,391900.0,6.75,97223
164,33.0,-96.88,247800.0,10.0,75007
165,35.39,-119.12,246400.0,7.52,93312
166,42.28,-122.91,234600.0,0.93,97501
167,33.71,-117.95,751600.0,15.57,92708
168,33.24,-117.3,471900.0,15.64,92057
169,35.11,-89.95,70000.0,4.5,38111
170,33.74,-84.26,116700.0,8.45,30032
171,41.65,-83.67,99400.0,0.72,43615
172,26.15,-80.27,282400.0,20.25,33322
173,32.28,-95.3,202600.0,8.67,75703
174,40.57,-74.12,514800.0,2.08,10306
175,28.15,-82.04,173800.0,15.8,33810
176,33.84,-117.91,523600.0,15.5,92805
177,40.6,-73.76,385600.0,2.0,11691
178,35.89,-78.64,253100.0,8.75,27615
179,39.81,-84.02,97900.0,0.0,45324
180,26.02,-80.15,276800.0,20.38,33020
181,30.51,-97.71,239300.0,8.33,78681
182,35.87,-80.09,113100.0,9.51,27360
183,29.59,-98.41,173600.0,7.5,78247
184,40.89,-74.05,333200.0,1.21,07601
185,41.47,-81.74,50400.0,0.43,44102
186,32.75,-117.16,902900.0,16.0,92103
187,40.02,-75.72,272600.0,3.11,19335
188,39.19,-96.59,152900.0,8.0,66502
189,34.23,-118.45,453900.0,15.88,91402
190,28.21,-82.68,241600.0,15.12,34655
191,44.14,-103.21,160000.0,5.78,57701
192,40.63,-122.35,263300.0,8.11,96003
193,37.17,-93.25,126400.0,8.0,65804
194,33.51,-83.86,125300.0,10.38,30016
195,41.84,-87.76,165100.0,2.44,60804
196,34.75,-80.76,135000.0,10.0,29720
197,27.54,-82.56,205600.0,15.78,34221
198,42.15,-76.06,106800.0,-0.55,13760
199,38.0,-121.32,257000.0,11.49,95207
200,39.49,-80.22,130700.0,2.0,26554
201,33.83,-118.38,1223100.0,16.07,90277
202,40.13,-104.95,345700.0,14.32,80504
203,42.66,-83.12,251300.0,0.7,48307
204,37.75,-87.16,130600.0,1.83,42301
205,31.01,-97.84,87000.0,8.67,76549
206,37.01,-121.58,684600.0,11.3,95020
207,40.87,-73.85,421300.0,1.73,10469
208,34.07,-118.47,2418200.0,16.36,90049
209,40.04,-82.97,99300.0,-0.6,43224
210,33.05,-96.74,258000.0,9.65,75023
211,37.26,-93.29,92800.0,8.0,65803
212,38.55,-121.74,598200.0,11.0,95616
213,39.87,-104.92,276600.0,14.32,80229
214,39.37,-74.43,113400.0,6.49,08401
215,35.07,-106.57,176400.0,9.26,87108
216,35.83,-78.58,177700.0,9.11,27604
217,33.37,-112.58,177700.0,17.15,85326
218,21.31,-157.83,1066500.0,22.74,96822
219,47.32,-122.31,331600.0,6.54,98003
220,39.96,-75.23,61300.0,4.17,19139
221,33.78,-118.18,460200.0,15.93,90813
222,33.93,-84.61,224400.0,8.58,30064
223,43.77,-88.44,106400.0,1.6,54935
224,30.52,-87.22,147600.0,10.44,32514
225,33.44,-112.38,206200.0,17.5,85338
226,28.31,-81.42,154800.0,15.62,34741
227,29.87,-95.53,148100.0,10.0,77040
228,27.86,-82.35,183400.0,15.41,33578
229,39.31,-76.45,176100.0,8.75,21221
230,38.19,-85.83,119800.0,1.74,40216
231,41.9,-88.75,134900.0,2.2,60115
232,26.56,-81.9,250300.0,18.49,33919
233,47.14,-122.16,337900.0,6.66,98391
234,35.06,-89.86,93200.0,4.5,38115
235,39.24,-84.54,103600.0,1.15,45231
236,42.23,-88.33,196000.0,2.4,60014
237,26.22,-80.22,216800.0,20.25,33068
238,34.07,-118.09,554300.0,15.72,91770
239,28.76,-81.35,240900.0,14.27,32746
240,41.14,-81.35,136400.0,0.34,44240
241,33.4,-111.72,228600.0,17.24,85206
242,32.14,-110.95,145800.0,18.32,85706
243,28.64,-81.49,180700.0,14.77,32703
244,33.12,-117.19,557600.0,16.0,92078
245,41.89,-87.94,355200.0,2.36,60126
246,32.71,-96.8,68800.0,10.01,75216
247,45.45,-122.87,379500.0,6.75,97007
248,47.9,-122.25,341400.0,6.74,98204
249,35.58,-80.87,282800.0,9.82,28117
250,34.02,-84.31,287900.0,8.5,30076
251,30.36,-91.09,207100.0,11.55,70810
252,33.89,-118.3,510100.0,15.93,90247
253,39.68,-104.88,413900.0,14.57,80231
254,38.65,-90.54,309300.0,8.97,63017
255,40.43,-74.41,304700.0,3.06,08816
256,34.02,-118.16,448300.0,15.72,90022
257,39.73,-104.91,631600.0,14.56,80220
258,45.52,-122.86,378000.0,6.78,97006
259,42.93,-76.56,114100.0,-0.2,13021
260,38.58,-92.24,121300.0,9.2,65109
261,41.54,-83.59,176400.0,0.15,43551
262,45.77,-108.5,169600.0,2.0,59101
263,34.0,-118.29,460200.0,15.93,90037
264,35.67,-97.48,215700.0,10.45,73034
265,28.21,-80.69,260000.0,16.42,32940
266,33.96,-118.39,1112200.0,16.14,90045
267,37.55,-77.46,271500.0,11.5,23220
268,45.5,-122.96,330400.0,6.8,97123
269,29.46,-95.03,164000.0,9.79,77539
270,39.59,-105.13,413600.0,13.28,80127
271,42.52,-83.16,221600.0,0.67,48073
272,40.21,-75.09,292300.0,3.39,18974
273,39.68,-104.96,699800.0,14.56,80210
274,39.15,-84.6,107600.0,1.6,45211
275,32.59,-96.94,170100.0,9.79,75104
276,41.99,-72.57,172800.0,0.1,06082
277,29.46,-98.75,195000.0,7.66,78253
278,38.94,-77.06,1161100.0,10.06,20008
279,43.54,-116.57,160500.0,5.01,83686
280,43.22,-75.45,100600.0,-2.3,13440
281,34.48,-117.41,227500.0,13.92,92392
282,44.95,-93.29,318700.0,3.06,55408
283,42.09,-79.24,59300.0,-0.32,14701
284,39.18,-77.54,403100.0,9.78,20176
285,42.25,-84.39,137500.0,0.99,49201
286,33.91,-80.35,99300.0,12.0,29150
287,30.0,-90.21,195500.0,11.84,70003
288,42.48,-71.16,457800.0,0.55,01801
289,44.24,-88.36,146500.0,1.87,54915
290,36.15,-86.86,276900.0,5.39,37209
291,43.02,-88.02,122000.0,2.45,53214
292,33.91,-117.79,699700.0,15.82,92886
293,39.67,-86.08,130800.0,0.31,46237
294,39.39,-76.49,221600.0,8.6,21236
295,33.65,-117.59,637300.0,15.62,92688
296,39.34,-76.42,182700.0,8.75,21220
297,27.27,-82.52,277800.0,15.97,34231
298,40.72,-74.08,302400.0,1.83,07304
299,32.78,-97.5,156400.0,10.87,76108
300,41.63,-70.94,203000.0,1.28,02740
301,41.81,-73.12,151100.0,0.0,06790
302,40.28,-74.34,385700.0,3.05,07726
303,39.77,-105.02,574700.0,14.55,80211
304,26.72,-80.12,207500.0,20.0,33417
305,30.0,-91.82,113500.0,10.43,70560
306,34.01,-117.81,623500.0,15.63,91765
307,37.67,-121.88,977000.0,11.77,94566
308,37.29,-80.07,156100.0,8.01,24153
309,44.28,-121.19,263600.0,2.0,97756
310,41.45,-87.07,182700.0,1.15,46383
311,39.49,-77.46,245700.0,7.88,21702
312,39.05,-94.4,119100.0,6.2,64055
313,37.88,-84.56,134000.0,2.0,40356
314,40.0,-75.17,36100.0,3.67,19132
315,36.3,-115.24,267500.0,16.81,89131
316,40.65,-75.22,125000.0,1.63,18042
317,39.45,-77.33,259900.0,8.66,21701
318,32.47,-90.11,176400.0,9.32,39110
319,44.06,-123.02,233400.0,6.0,97477
320,24.56,-81.78,683500.0,18.0,33040
321,26.45,-80.13,242600.0,20.51,33484
322,47.45,-122.12,426000.0,6.55,98058
323,37.1,-113.58,216300.0,9.0,84770
324,33.51,-112.1,218300.0,17.22,85015
325,40.12,-75.33,149100.0,3.23,19401
326,42.7,-84.55,82600.0,1.66,48910
327,38.62,-121.38,327600.0,10.68,95821
328,42.41,-71.05,402400.0,0.67,02149
329,40.64,-74.26,270900.0,1.64,07036
330,39.63,-84.27,146400.0,0.67,45342
331,28.66,-81.41,185600.0,14.49,32714
332,32.85,-97.14,244500.0,10.23,76021
333,40.88,-111.87,248000.0,10.21,84010
334,28.52,-81.45,97600.0,15.42,32811
335,27.91,-82.76,194600.0,15.34,33771
336,35.18,-89.86,122000.0,4.99,38134
337,33.82,-118.27,486000.0,15.93,90745
338,38.12,-121.26,302200.0,11.24,95240
339,32.18,-110.82,156100.0,18.31,85730
340,33.63,-117.87,1473300.0,15.6,92660
341,26.44,-81.81,327100.0,18.48,33928
342,40.11,-88.24,120300.0,1.67,61820
343,31.07,-97.39,132500.0,8.5,76502
344,39.21,-76.83,312700.0,9.13,21045
345,42.97,-85.65,135000.0,2.0,49503
346,44.88,-93.26,229400.0,3.14,55423
347,44.94,-93.01,193000.0,2.82,55119
348,38.28,-122.47,732300.0,9.53,95476
349,36.83,-119.68,278500.0,10.0,93611
350,48.18,-122.11,354600.0,7.48,98223
351,42.67,-82.78,228700.0,0.5,48047
352,44.99,-123.02,255900.0,6.2,97303
353,36.97,-121.99,845400.0,11.38,95062
354,36.14,-80.24,86200.0,9.71,27105
355,33.24,-111.77,291400.0,17.24,85249
356,28.5,-81.54,280800.0,15.27,34786
357,39.78,-86.05,102100.0,0.31,46219
358,35.03,-89.81,142800.0,4.5,38125
359,42.2,-72.63,187800.0,-0.26,01040
360,26.34,-80.21,288700.0,20.13,33428
361,40.45,-74.48,301300.0,2.89,08902
362,41.54,-93.62,128100.0,5.55,50315
363,41.47,-87.08,186600.0,1.15,46385
364,31.42,-100.48,172900.0,14.0,76904
365,39.79,-75.04,183600.0,4.92,08012
366,34.69,-118.15,213200.0,12.87,93534
367,45.44,-122.61,335100.0,6.74,97222
368,34.19,-118.39,573300.0,15.81,91606
369,42.13,-87.93,185200.0,2.4,60090
370,25.77,-80.36,224500.0,20.43,33172
371,42.36,-71.1,933100.0,0.67,02139
372,32.74,-97.39,197600.0,10.76,76107
373,39.86,-88.94,73200.0,4.17,62526
374,34.0,-84.65,184900.0,8.5,30152
375,41.62,-87.55,85200.0,2.12,60409
376,34.15,-118.43,1109200.0,16.0,91423
377,33.11,-117.07,509800.0,16.0,92025
378,34.83,-87.66,107000.0,6.74,35630
379,37.35,-121.95,1186100.0,11.82,95050
380,25.7,-80.44,290200.0,20.43,33193
381,25.9,-80.31,301000.0,20.38,33014
382,29.87,-90.07,154000.0,11.61,70058
383,39.72,-121.81,327000.0,9.97,95928
384,30.49,-90.1,190300.0,11.47,70433
385,36.83,-121.34,505200.0,9.29,95023
386,33.31,-111.92,259000.0,17.25,85226
387,33.9,-118.16,429300.0,15.82,90723
388,34.07,-118.01,497600.0,15.72,91732
389,30.41,-87.31,127600.0,10.75,32506
390,42.01,-87.84,377300.0,2.5,60068
391,46.62,-120.71,260200.0,2.46,98908
392,45.0,-122.91,234400.0,6.2,97305
393,32.69,-97.27,79500.0,10.53,76119
394,38.59,-90.35,239100.0,8.99,63119
395,37.46,-77.4,156800.0,11.71,23231
396,37.7,-122.12,623300.0,11.46,94578
397,38.75,-77.49,262500.0,10.99,20110
398,30.23,-93.19,158100.0,9.4,70601
399,33.41,-94.18,111000.0,9.0,75501
400,42.34,-83.29,140500.0,0.7,48127
401,33.82,-112.12,293300.0,17.37,85086
402,36.79,-119.76,186200.0,10.0,93726
403,32.04,-81.12,165200.0,12.99,31405
404,35.49,-81.18,134300.0,10.18,28092
405,47.22,-123.1,231500.0,6.9,98584
406,34.01,-118.34,786400.0,15.93,90008
407,42.36,-71.03,476400.0,0.73,02128
408,40.0,-76.77,120500.0,3.59,17404
409,37.8,-122.43,3158300.0,11.46,94123
410,34.21,-118.87,645900.0,16.4,91360
411,37.95,-122.07,707500.0,11.5,94523
412,34.14,-118.39,1360100.0,16.0,91604
413,33.92,-117.49,370100.0,15.34,92505
414,39.73,-104.98,541400.0,14.55,80203
415,39.89,-79.73,134200.0,0.99,15401
416,35.24,-80.9,109700.0,9.63,28208
417,33.02,-96.74,296400.0,10.01,75075
418,42.97,-71.45,223200.0,-0.09,03103
419,37.75,-121.77,701700.0,11.77,94551
420,34.04,-117.18,426200.0,14.67,92373
421,33.93,-117.88,648900.0,15.78,92821
422,45.31,-93.58,235500.0,2.78,55330
423,36.16,-86.66,221800.0,5.5,37214
424,35.13,-80.93,184500.0,9.63,28273
425,40.02,-83.08,294100.0,-0.55,43221
426,44.03,-91.7,141400.0,1.78,55987
427,40.24,-77.2,152300.0,3.59,17013
428,45.06,-92.85,317500.0,3.0,55082
429,40.59,-80.32,141500.0,1.0,15001
430,30.0,-95.28,139200.0,10.39,77338
431,40.63,-75.39,147100.0,2.61,18018
432,34.11,-81.2,127100.0,11.38,29063
433,32.29,-106.75,107200.0,8.58,88001
434,41.6,-83.63,120800.0,0.37,43614
435,47.54,-122.59,283800.0,6.55,98366
436,27.95,-82.79,237100.0,15.34,33756
437,45.13,-93.46,245000.0,2.93,55369
438,25.82,-80.13,1230100.0,20.38,33140
439,39.17,-76.58,251500.0,8.84,21060
440,46.92,-96.83,180100.0,1.52,58102
441,40.99,-73.8,862900.0,1.14,10583
442,41.64,-91.5,184400.0,4.59,52240
443,47.56,-122.16,874300.0,6.6,98006
444,39.02,-95.75,127500.0,5.32,66614
445,42.28,-71.43,354000.0,0.73,01702
446,41.59,-73.89,252900.0,-1.0,12590
447,33.25,-84.27,91300.0,9.2,30223
448,37.51,-77.56,207000.0,12.0,23235
449,33.2,-80.02,202900.0,13.37,29461
450,34.88,-92.23,135200.0,5.21,72120
451,34.95,-78.94,117500.0,10.11,28348
452,26.13,-97.64,83000.0,8.99,78586
453,36.69,-79.87,131100.0,9.49,24112
454,39.48,-75.68,259100.0,7.34,19709
455,41.23,-95.88,114200.0,6.59,51501
456,38.68,-89.99,136000.0,8.13,62234
457,35.27,-80.96,152600.0,9.75,28214
458,29.69,-95.4,259300.0,10.13,77054
459,33.81,-84.14,162700.0,8.67,30087
460,38.59,-90.29,205300.0,8.99,63109
461,43.07,-87.91,117100.0,2.38,53212
462,40.5,-111.88,341900.0,10.96,84020
463,39.83,-105.07,342000.0,14.31,80003
464,39.88,-105.03,337200.0,13.06,80031
465,47.69,-122.38,802100.0,6.56,98117
466,41.42,-81.91,151300.0,0.43,44070
467,26.15,-81.74,301900.0,19.0,34104
468,41.85,-72.46,182300.0,0.62,06066
469,35.36,-82.43,200900.0,11.59,28792
470,41.03,-81.44,101300.0,0.24,44312
471,33.74,-116.97,219000.0,15.41,92543
472,33.79,-118.26,435700.0,15.93,90744
473,47.62,-117.36,262500.0,1.2,99223
474,33.27,-111.83,278300.0,17.24,85286
475,33.95,-83.99,155800.0,9.1,30046
476,39.61,-84.17,209000.0,0.75,45458
477,33.63,-112.11,233200.0,17.5,85023
478,40.89,-74.01,388300.0,1.06,07666
479,36.28,-115.29,235900.0,16.81,89149
480,44.1,-123.13,253500.0,6.0,97404
481,37.54,-122.03,769100.0,12.0,94560
482,33.52,-117.13,393700.0,15.0,92591
483,33.88,-117.54,413500.0,15.36,92879
484,32.87,-96.99,269900.0,10.18,75038
485,21.5,-158.04,582400.0,22.77,96786
486,38.19,-85.65,155100.0,1.79,40218
487,33.56,-111.89,507400.0,17.25,85258
488,34.19,-118.82,714300.0,16.4,91362
489,34.26,-118.59,570400.0,15.92,91311
490,35.18,-83.39,152200.0,7.51,28734
491,42.6,-83.0,186400.0,0.67,48313
492,37.57,-122.32,1069600.0,11.72,94401
493,34.14,-117.6,468000.0,15.21,91701
494,35.8,-80.89,130800.0,10.23,28677
495,33.58,-85.08,123600.0,8.66,30117
496,38.95,-104.77,288200.0,14.39,80920
497,33.79,-117.32,300000.0,15.31,92570
498,33.8,-116.52,486800.0,14.63,92264
499,43.09,-87.97,85600.0,2.22,53216
500,39.16,-75.6,169500.0,7.62,19904
501,40.73,-73.68,640000.0,1.66,11040
502,35.76,-78.78,245500.0,9.24,27511
503,30.52,-86.48,246200.0,11.19,32578
504,41.12,-87.87,80800.0,2.01,60901
505,42.02,-88.17,185900.0,2.46,60107
506,40.06,-75.05,184500.0,3.93,19152
507,41.63,-93.67,157000.0,5.62,50310
508,38.57,-89.9,160600.0,7.68,62269
509,33.47,-111.92,319500.0,17.25,85257
510,27.79,-82.68,198300.0,15.57,33713
511,41.75,-88.25,206500.0,2.33,60504
512,34.17,-118.34,765400.0,15.85,91505
513,36.22,-83.31,146200.0,3.5,37814
514,38.98,-77.37,374000.0,10.46,20170
515,45.01,-93.03,214100.0,3.0,55109
516,40.6,-74.08,506900.0,1.75,10305
517,33.32,-112.07,280100.0,17.5,85048
518,42.89,-71.3,280400.0,0.0,03038
519,39.43,-84.17,186200.0,0.78,45036
520,43.15,-93.2,82600.0,3.82,50401
521,34.22,-118.99,562400.0,16.32,93012
522,38.24,-122.13,445100.0,10.08,94534
523,40.05,-83.02,297300.0,-0.6,43214
524,40.85,-96.71,177300.0,7.82,68521
525,39.97,-86.08,292000.0,0.42,46033
526,39.76,-86.4,166300.0,0.57,46123
527,37.46,-77.4,238500.0,11.71,23229
528,34.16,-118.23,921100.0,15.66,91206
529,32.33,-90.85,112900.0,8.98,39180
530,27.82,-82.73,187100.0,15.51,33709
531,41.84,-71.44,182200.0,1.18,02908
532,45.51,-122.64,614600.0,6.85,97214
533,38.34,-75.08,341700.0,8.55,21842
534,33.89,-117.89,631100.0,15.77,92831
535,35.47,-80.87,265100.0,9.82,28031
536,40.12,-75.02,230000.0,3.57,19116
537,35.17,-80.79,380300.0,9.58,28211
538,38.66,-121.48,356000.0,10.89,95835
539,40.77,-89.6,122000.0,3.59,61614
540,37.41,-122.08,1557300.0,11.73,94043
541,41.68,-88.35,207000.0,2.3,60543
542,33.47,-117.7,925100.0,15.46,92629
543,41.22,-73.13,247000.0,0.59,06614
544,40.81,-91.12,103400.0,4.75,52601
545,34.05,-118.19,440200.0,15.71,90063
546,35.08,-92.42,128700.0,6.19,72032
547,40.79,-74.16,273400.0,1.58,07109
548,42.46,-83.66,272100.0,0.92,48178
549,28.01,-81.95,181100.0,16.0,33803
550,37.04,-88.59,136300.0,2.0,42003
551,37.95,-91.76,120500.0,9.0,65401
552,33.94,-84.54,143200.0,8.6,30060
553,41.19,-111.95,178200.0,9.19,84403
554,30.35,-81.59,134600.0,12.83,32211
555,31.74,-106.37,85500.0,9.03,79915
556,42.97,-78.79,160900.0,0.03,14226
557,37.06,-88.66,153700.0,2.0,42001
558,40.78,-96.64,180500.0,7.16,68506
559,39.29,-80.34,91400.0,2.53,26301
560,35.14,-80.77,263900.0,9.58,28270
561,27.92,-82.8,251800.0,15.34,33770
562,35.65,-84.0,184100.0,4.24,37803
563,33.34,-112.17,202600.0,17.5,85339
564,41.49,-73.05,170100.0,0.26,06770
565,40.81,-73.13,333400.0,1.09,11779
566,42.38,-88.0,182100.0,2.67,60046
567,39.6,-105.0,421700.0,14.78,80120
568,33.87,-118.24,384100.0,15.93,90220
569,37.62,-121.0,221500.0,11.21,95351
570,42.4,-71.03,371900.0,0.67,02150
571,40.83,-73.82,458900.0,1.72,10465
572,31.83,-102.42,139300.0,13.99,79763
573,37.98,-100.86,146000.0,13.0,67846
574,28.62,-81.43,165300.0,15.1,32810
575,38.88,-104.82,248400.0,14.29,80907
576,37.52,-120.85,298200.0,10.35,95382
577,44.96,-93.26,191700.0,3.06,55404
578,33.99,-118.4,1038400.0,16.19,90230
579,40.06,-75.16,117900.0,3.67,19138
580,40.19,-75.44,262600.0,3.09,19426
581,43.22,-124.2,179600.0,6.6,97420
582,33.92,-118.14,513800.0,15.81,90242
583,37.3,-79.93,120400.0,8.0,24012
584,41.71,-83.71,160600.0,0.75,43560
585,37.29,-107.86,438900.0,5.76,81301
586,37.69,-92.66,109500.0,9.0,65536
587,41.04,-81.74,164800.0,0.41,44281
588,44.5,-87.98,122200.0,1.4,54302
589,41.69,-72.73,214400.0,0.55,06111
590,40.32,-80.04,182000.0,0.85,15102
591,38.53,-121.45,251700.0,10.89,95820
592,35.12,-76.98,141700.0,11.62,28560
593,42.03,-97.42,170000.0,9.73,68701
594,39.98,-75.25,136300.0,3.93,19151
595,33.75,-116.27,342300.0,17.26,92203
596,30.09,-97.85,229600.0,8.14,78610
597,38.54,-90.0,113000.0,8.45,62226
598,40.43,-79.92,257800.0,0.86,15217
599,32.43,-99.77,119300.0,13.04,79605
600,41.39,-81.74,109000.0,0.43,44129
601,41.12,-81.57,143800.0,0.45,44313
602,36.79,-119.83,177100.0,10.0,93705
603,38.96,-94.6,188400.0,5.66,64114
604,36.03,-79.38,144000.0,8.77,27253
605,36.1,-79.27,170500.0,8.87,27302
